,Neighborhood,Average Rent (USD),Latitude,Longitude
0,West Seattle,1832,47.5709315,-122.3865166
1,Beacon Hill,1634,47.579271,-122.3117942
2,Ravenna,1598,47.6756537,-122.2976262
3,Columbia City,2272,47.5579124,-122.2852162
4,Ballard,2174,47.6765073,-122.3862233
5,Interbay,1525,47.6407418,-122.3763394
6,South Park,2310,47.5264675,-122.3229131
7,Central District,1948,47.6031101,-122.3082702
8,Georgetown,1800,47.5489326,-122.3300573
9,Lake City,1379,47.7191619,-122.2954939
10,Greenwood,1820,47.6909806,-122.3548773
11,Capitol Hill,2070,47.6238307,-122.318368
