,Park,Park Latitude,Park Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Discovery Park,47.6577706,-122.4062867,Metropolitan Market,47.655356672641,-122.40066554137967,Grocery Store
1,Discovery Park,47.6577706,-122.4062867,Foster Wellness,47.658524072435846,-122.40364995261722,Spa
2,Discovery Park,47.6577706,-122.4062867,Shell,47.659472,-122.400436,Gas Station
3,Discovery Park,47.6577706,-122.4062867,Center for Ideal Weight Loss,47.66148186347647,-122.40946412086485,Massage Studio
4,Carkeek Park,47.71173365,-122.36893053543639,A Divine Taste Catering,47.714389,-122.373689,Food
5,Seward Park,47.54977622288155,-122.25775409496438,Seward Park Clay Studio,47.549638,-122.25629099999999,Arts & Crafts Store
6,Volunteer Park,47.63098889932886,-122.31264906040268,Seattle Asian Art Museum,47.630160523086005,-122.31456438634693,Art Museum
7,Volunteer Park,47.63098889932886,-122.31264906040268,Volunteer Park Cafe,47.63242664071617,-122.31004246921715,Coffee Shop
8,Volunteer Park,47.63098889932886,-122.31264906040268,Black Sun,47.63000699297634,-122.31514617266977,Sculpture Garden
9,Volunteer Park,47.63098889932886,-122.31264906040268,Volunteer Park Amphitheatre,47.63036394720156,-122.31673751277279,Performing Arts Venue
10,Volunteer Park,47.63098889932886,-122.31264906040268,Metro Bus Stop #11370,47.63245271142784,-122.31253981972507,Bus Stop
11,Volunteer Park,47.63098889932886,-122.31264906040268,taco truck Alley,47.63120052397191,-122.3157275900775,Food Truck
12,Volunteer Park,47.63098889932886,-122.31264906040268,Judge Thomas Burke,47.632111,-122.31571299999999,Art Gallery
13,Volunteer Park,47.63098889932886,-122.31264906040268,Volunteer Park Tennis Courts,47.63171317174838,-122.31695630896982,Tennis Court
14,Volunteer Park,47.63098889932886,-122.31264906040268,Shafer Baillie Mansion Bed & Breakfast,47.627091,-122.31493200000001,Bed & Breakfast
15,Volunteer Park,47.63098889932886,-122.31264906040268,Luna Sandals Factory,47.62900924682617,-122.30693817138672,Sporting Goods Shop
16,Meridian Playground,47.6634669,-122.33150405819671,Ezell's Famous Chicken,47.66150944254662,-122.33084751714829,Fried Chicken Joint
17,Meridian Playground,47.6634669,-122.33150405819671,45th Stop N Shop & Poke Bar,47.661315467574134,-122.33032690941532,Poke Place
18,Meridian Playground,47.6634669,-122.33150405819671,Pho Than Brothers,47.6613619947598,-122.33088502668579,Asian Restaurant
19,Meridian Playground,47.6634669,-122.33150405819671,The Octopus Bar,47.66134057064252,-122.33323118159028,Dive Bar
20,Meridian Playground,47.6634669,-122.33150405819671,TNT Taqueria,47.66142381419963,-122.33289515954182,Taco Place
21,Meridian Playground,47.6634669,-122.33150405819671,Wallingford Farmers Market,47.6640451888475,-122.33361813644814,Farmers Market
22,Meridian Playground,47.6634669,-122.33150405819671,Kabul Afghan Cuisine,47.66126853632811,-122.33121831894209,Restaurant
23,Meridian Playground,47.6634669,-122.33150405819671,SeaMonster Lounge,47.661475,-122.33235,Lounge
24,Meridian Playground,47.6634669,-122.33150405819671,Cubes Baking Co.,47.661227000000004,-122.330506,Bakery
25,Meridian Playground,47.6634669,-122.33150405819671,Fainting Goat Gelato,47.66134581371849,-122.33486356347564,Ice Cream Shop
26,Meridian Playground,47.6634669,-122.33150405819671,Dick's Drive-In,47.661054,-122.327774,Burger Joint
27,Meridian Playground,47.6634669,-122.33150405819671,The Sock Monster,47.66134196268696,-122.33459865333485,Clothing Store
